TRGT_FUND_NBR,EFFTV_STRT_DT,EFFTV_END_DT,FUND_NBR,WGT_TYPE,TRGT_FUND_WGT
2602,1/1/2010,6/9/2010,2019,"MODEL",0.0221
2603,1/1/2010,6/9/2010,2019,"MODEL",0.02535
2604,1/1/2010,6/9/2010,2019,"MODEL",0.0312
2600,1/1/2010,6/9/2010,2022,"MODEL",0.0078
2601,1/1/2010,6/9/2010,2022,"MODEL",0.01092
2602,1/1/2010,6/9/2010,2022,"MODEL",0.01326
2603,1/1/2010,6/9/2010,2022,"MODEL",0.01521
2604,1/1/2010,6/9/2010,2022,"MODEL",0.01872
2600,1/1/2010,6/9/2010,2023,"MODEL",0.0195
2601,1/1/2010,6/9/2010,2023,"MODEL",0.0273
2602,1/1/2010,6/9/2010,2023,"MODEL",0.03315
2603,1/1/2010,6/9/2010,2023,"MODEL",0.038025
2604,1/1/2010,6/9/2010,2023,"MODEL",0.0468
2600,1/1/2010,6/9/2010,2024,"MODEL",0.0235
2601,1/1/2010,6/9/2010,2024,"MODEL",0.04982
2602,1/1/2010,6/9/2010,2024,"MODEL",0.0752
2603,1/1/2010,6/9/2010,2024,"MODEL",0.08958
2604,1/1/2010,6/9/2010,2024,"MODEL",0.0984
2600,1/1/2010,6/9/2010,2025,"MODEL",0.1978421
2601,1/1/2010,6/9/2010,2025,"MODEL",0.1429
2602,1/1/2010,6/9/2010,2025,"MODEL",0.11067
